unit_name,marks,state,source,source_page
"KUMARIKA GOLD, KUMARIKA CLONAL, KUMARIKA CLONAL -1 , LUXMI TEA CO. PVT. LTDFULBARI TEA ESTATE",FULBARI HIGH GROWN M/S HIMALAYAN TEA & AGRO PVT. LTD.(UNIT- I),West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
PLANTATION PVT. LTD M/S NEW LEAF TEA PLANTATION PVT. LTD,"KABINI, NOYYAL, KABINI VALUE, NOYYAL VALUE, KABINI ROYAL, NOYYAL ROYAL , KABINI",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
MALHATI TEA & INDUSTRIES LIMITED. JOGES CHANDRA TEA ESTATE,"JOGES CHANDRA, JOGES CHANDRA GOLD MANJUSHREE TEA COMPANYMANJUSHREE TEA COMPANY",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
"JOGES CHANDRA, JOGES CHANDRA GOLD MANJUSHREE TEA COMPANYMANJUSHREE TEA COMPANY","MALAPARA SUPREME, MALAPARA GOLD, MALAPARA DIAMOND MANSARAVOR TEA PVT LTDMANSARAVOR TEA PVT LTD",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
"MALAPARA SUPREME, MALAPARA GOLD, MALAPARA DIAMOND MANSARAVOR TEA PVT LTDMANSARAVOR TEA PVT LTD","GUYABARI, GUYABARI GOLD, BANDHU NAGAR MARS TEA I NDIA PVT LTDMARS TEA I NDIA PVT LTD",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
"GUYABARI, GUYABARI GOLD, BANDHU NAGAR MARS TEA I NDIA PVT LTDMARS TEA I NDIA PVT LTD","JEEVANMOTI,JEEVANMOTI VALUE,TAPTI,TAPTI VALUE,SARAMATI, SARAMATI",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
"VALUE,TAPTI,TAPTI VALUE,SARAMATI, SARAMATI MINU TEA INDUSTRIES MINU TEA FACTORY & STG","MINU GOLD, MINU TEA",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
PROCESSING PVT. LTD NAVBHARAT TEA PROCESSING PVT. LTD,"AAMBAGH, LICHUGURI NEELKANTH TEA COMPANY LTD.",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),8
NITYANANDA AGRO COMPANY LTD. NITYANANDA AGRO CO. LTD.,"ASMI, ASMI GOLD NORTH DINAJPUR TEA AGRO PVT. LTD. -",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),8
PVT. LTD. - NORTH DINAJPUR TEA AGRO BLF & STG,"North Dinajpur, Double Elephant, Shera, Suryamukhi, Kasturi Gold, Keshar Gold, Chaibari",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),8
NOUVELLE TEA PVT. LTD.NOUVELLE TEA PVT. LTD.,"KUMARPARA ROYAL, KUMARPARA, KUMARPARA GOLD, KUMARPARA SPECIAL,",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),9
NPS COLD STORAGE PVT. LTD. NPS COLD STORAGE PVT. LTD.,"MOODHUBARI SPECIAL, MOODHUBARI, ASSHABARI P.B. GHOSH & SONS TEA",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),9
FACTORY P.B. GHOSH & SONS TEA FACTORY & STG,"RANIRHAT, KALIRHAT, DHAULAGIRI, PAHARPUR, SAGARDIGHI",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),9
PHULJHORA AGRO PLANTATION PVT. LTD INDIRA TEA FACTORY,"GAJOLDOBA NATURAL, INDIRA PREMIUM, INDIRA GOLD, PIONEER TEA AND EXPORTS",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),9
PIONEER TEA AND EXPORTS LTD. PIONEER TEA & EXPORTS LTD.,"PIONEER,AMRIT ROYAL, ANUBHUTI, SAFRON VALLEY, PPS TEA PVT LTDPPS TEA PVT LTD",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),9
PROCESSING PVT. LTD SANYASIHAT TEA PROCESSING PVT. LTD,"SANYASIHAT, SANYASIHAT VALUE, AMBATULLI, AMBATULLI VALUE, SANYASIHAT ROYAL, AMBATULLI",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),10
SARODAMONI TEA CO. PVT LTD SARODAMONI TEA CO. PVT LTD,"SARODAMONI, SARODAMONI VALUE, MANJIRA, MANJIRA VALUE, SARODAMONI ROYAL,",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),10
"MANJIRA ROYAL, SARODAMONI PREMIUM, MANJIRA PREMIUM SENCHAL AGRO PVT. LTDSENCHAL TEA FACTORY & STG","SENCHAL GOLD ,SENCHAL, SUNNY VALLEY, SINGHA, SVARNA, SOMA SHAKTI TEA PROCESSORS",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),10
AND MFG PVT LTD SHAKTI TEA PROCESSORS & MFG PVT LTD,"SHAKTI SUPREME, SHAKTI DIAMOND, SHIV ROYAL, SHIV SHAKTI",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),10
SHREE GANAPATI TEA P. LTDSHREE GANAPATI TEA P. LTD,"SHREE GANAPATI, VARUN GOLD, SIDDHI VINAYAK, JAI HANUMAN SHRI BANSI BEHARIJI TEA",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),11
INDUSTRIES PRIVATE LIMITED SHRI BANSI BEHARIJI TEA INDUSTRIES PRIVATE LIMITED,"DWARIKA GOLD, RADHABARI GOLD, DWARIKA ROYAL, BANSURI ROYAL",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),11
"GOLD, DWARIKA ROYAL, BANSURI ROYAL SONDEEP TEA PVT. LTD.SONDEEP TEA FACTORY & STG","SWAPNA GOLD, SHREYA GOLD, SONDEEP SRIKRISHNAPUR TEA CO.PVT",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),11
SRIKRISHNAPUR TEA CO.PVT LTD SRIKRISHNAPUR FACTORY & STG,"SRIKRISHNA, SRIKRISHNASUPREME SUMAN MANUFACTURING",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),11
