entity_name,type,state,marks,source_page
MOKALBARI KANOI TEA ESTATE P. LTD MOKALBARI TEA ESTATE,Organized Estate / Factory,Assam,,27
"KAMAKHYABARI EAST, KAMAKHYABARI MONKHOOLI TEA CO.MONKHOOLI TEA CO.- SHG",Organized Estate / Factory,Assam,MONKHOOLI,27
MUKTABARI TEA ESTATE PVT. LTD (MUKTABARI) MUKTABARI TEA ESTATE & STG,Organized Estate / Factory,Assam,MUKTABARI,27
MURARI TEA INDUSTRIES-FACTORY & SHG,Bought Leaf Factory (BLF),Assam,SHIVKALYANI,27
NABIBON TEA COMPANYNABIBON TEA COMPANY,Organized Estate / Factory,Assam,"NABIBON, LENA, ALINA",27
NAGAHAT TEA ESTATE PVT. LTD. NAGAHAT TEA ESTATE PVT. LTD.,Organized Estate / Factory,Assam,"DIKRONG, NAGAHAT",27
NARSINGPORE TEA COMPANY NARSINGPORE TE & FACTORY,Organized Estate / Factory,Assam,"NARSINGPORE, KALACHERRA",27
NAUPUKHURI TEA COMPANYNAUPUKHURI TEA COMPANY,Organized Estate / Factory,Assam,NAUPUKHURI,27
NEELAMBER TEA LLPNEELAMBER TEA LLP,Organized Estate / Factory,Assam,GAJANAN,27
NEFAA TEA INDUSTRIESNEFAA TEA INDUSTRIES & STG,Bought Leaf Factory (BLF),Assam,"NEFAA, ARYA,ARYAN, CAMBRIC",27
NEW RANGSALI PLANTATION PVT. LTD. NEW RANGSALI FACTORY & ESTATES,Organized Estate / Factory,Assam,KARBI VALLEY,27
NEW SONWAL TEA CO. (P) LTD NEW SONWAL TEA ESTATE &SHG,Organized Estate / Factory,Assam,NEW SONOWAL T.E.,27
PABHOJAN TEA ESTATEPABHOJAN TE,Organized Estate / Factory,Assam,PABHOJAN,27
PANBARI TEA COMPANYPANBARI TEA ESTATE,Organized Estate / Factory,Assam,"PANBARI, BORCHOLA",27
PARAMESHWARI TEA COMPANY & STG,Organized Estate / Factory,Assam,,27
"BORNEWRIA, SILONIJAN, KARBI- GOLD DECKIAJULI TEA ESTATE & STG",Organized Estate / Factory,Assam,"DECKIAJULI, JIASIL",27
RAJAJULI FACTORY & STG,Bought Leaf Factory (BLF),Assam,RAJAJULI,28
PATKAI TEA CO. PVT. LTD.PATKAI FACTORY & STG,Bought Leaf Factory (BLF),Assam,,28
PENGREEGARH TEA COMPANY PENGREEGARH TEA COMPANY,Organized Estate / Factory,Assam,PENGREEGARH TEA,28
POPULAR TIE UP PVT. LTD. SELENG TEA ESTATE,Organized Estate / Factory,Assam,SELENG TEA ESTATE,28
PRABHUNI TEA COMPANYPRABHUNI TEA FACTORY,Organized Estate / Factory,Assam,"KAMARBUND, BORSAIKOTA",28
PULIBOR TEA PVT LTDPULIBOR TEA PVT LTD,Organized Estate / Factory,Assam,PULIBOR TEA,28
PULSAR COMMERCE PVT. LTD PABHOI TE,Organized Estate / Factory,Assam,PABHOI,28
RADHA TEA COMPANY PRIVATE LIMITED,Organized Estate / Factory,Assam,MOUKHOWAH,28
RAMESHWARA TEA PROCESSING UNIT RAMESHWARA TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,SUBANSIRI,28
RAMJULI TEA COMPANYRAMJULI TEA FACTORY,Organized Estate / Factory,Assam,"GOROIMARI, RAMJULI",28
REGINA TEA COMPANY P. LTD REGINA TEA COMPANY P. LTD,Organized Estate / Factory,Assam,"ULLAH, MIRAJULI, DIYA",28
RIDDHI SIDDHI PLANTATIONSJAIPUR TEA ESTATE,Organized Estate / Factory,Assam,JAIPUR,28
RIVER VALLEY TEA COMPANY PVT. LTD BEHUBOR TE,Organized Estate / Factory,Assam,BEHUBOR TEA ESTATE,28
RNT PLANTATIONSLUKWAH TE,Organized Estate / Factory,Assam,LUKWAH,28
KHARIKATIA TEA ESTATE,Organized Estate / Factory,Assam,KHARIKATIA,28
ROMAI TEA ESTATE,Organized Estate / Factory,Assam,ROMAI,28
ROSSELL INDIA LTD.NAGRIJULI TEA ESTATE & STG,Organized Estate / Factory,Assam,"NAGRIJULI, BANSIBAGH",28
ROYAL TEA COMPANYPARVATI TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,"JODHABARI, JODHABARI ESTATE",28
RUKMANI TEA INDUSTRIES PVT. LTD HANUMANBAG TE,Bought Leaf Factory (BLF),Assam,HANUMANBAG,28
CHANDIGHAT TE,Organized Estate / Factory,Assam,,28
GHILLIDARY TE- STG,Organized Estate / Factory,Assam,GHILLIDARY N,29
GHILLIDARY TE,Organized Estate / Factory,Assam,GHILLIDARY,29
RUPAI TEA INDUSTRYRUPAI BOUGHT LEAF FACTORY & STG,Bought Leaf Factory (BLF),Assam,RUPAI(MS),29
RUTTONPORE PLANTATIONS PVT. LTD. RUTTONPORE TEA ESTATE,Organized Estate / Factory,Assam,"RUTTONPORE, SUPRABHA",29
DUKLUNGIA TEA ESTATE,Organized Estate / Factory,Assam,DUKLINGIA,29
KOPATI TEA ESTATE,Organized Estate / Factory,Assam,"KOPATI, KANT",29
SALKATHONI TEA ESTATESALKATHONI TEA ESTATE- STG,Organized Estate / Factory,Assam,SALKATHONI CL,29
SALONAH TEA PVT. LTD.SALONAH TEA ESTATE,Organized Estate / Factory,Assam,SALONAH,29
SAMPRIKIMI TEA INDUSTRIESSAMPRIKIMI TEA INDUSTRIES,Bought Leaf Factory (BLF),Assam,REKHAPAHAR,29
SANJEEVANI TEA INDUSTRIESSANJEEVANI TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,"PADMAMUKHI, MATANGBAGH",29
SANJIV TEA INDUSTRIES PVT LTD SANJIV TEA INDUSTRIES PVT LTD,Bought Leaf Factory (BLF),Assam,SANJIV TEA,29
SANKAR TEA COMPANY PVT LTD SANKAR TEA FACTORY,Organized Estate / Factory,Assam,GAURI SANKAR,29
SATYANARAYAN TEA CO. P. LTD SATYANARAYAN TEA ESTATE & SHG,Organized Estate / Factory,Assam,,29
SEGUNBARI TEA COMPANY LTD. SEGUNBARI TEA ESTATE,Organized Estate / Factory,Assam,"SEGUNBARI GOLD, SEGUNBARI",29
SENGAJAN TEA COSENGAJAN TE,Organized Estate / Factory,Assam,SENGAJAN,29
SHANTIBARI TEA PRODUCER COMPANY LTD,Organized Estate / Factory,Assam,RAJOI,29
SHRISTI TEA INDUSTRY SHRISTI BLF & STG,Bought Leaf Factory (BLF),Assam,SONESWARI TEA,29
SHYAMARAIPORE TEA ESTATE SHYAMARAIPORE TEA ESTATE,Organized Estate / Factory,Assam,SAMRAIPUR,29
SILONIBARI TEA COMPANY P. LTD. SILONIBARI TE,Organized Estate / Factory,Assam,SILONIBARI,29
SINGHI INDUSTRIES PVT. LTD.BALIJAN FACTORY & STG,Bought Leaf Factory (BLF),Assam,GINI NOVA,30
Singlo Suffry Tea Estate LLPSUFFRY TEA ESTATE FACTORY,Organized Estate / Factory,Assam,"SUFFRY CTC, SUFFRY OR",30
SINGRIMARI TEA ESTATESINGRIMARI TEA ESTATE,Organized Estate / Factory,Assam,SINGRIMARI,30
SONALI TEA INDUSTRIESSONALI TEA INDUSTRIES,Bought Leaf Factory (BLF),Assam,"SONALI, SHEETALBARI",30
SONARIE TEA CO. PVT LTDSONARIE TEA ESTATE,Organized Estate / Factory,Assam,SONARIE,30
SOOKERATING TEA ESTATE P LTD SOOKERATING TEA ESTATE,Organized Estate / Factory,Assam,SOOKERATING,30
SOTAI TEA COMPANY P. LTDSOTAI TE,Organized Estate / Factory,Assam,SOTAI,30
BORPATRA TEA GARDEN,Organized Estate / Factory,Assam,BORPATRA,30
DEJOO TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,KIMIN,30
DEJOO TEA FACTORY,Organized Estate / Factory,Assam,DEJOO,30
HARMUTTY TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,OHAT,30
HARMUTTY TEA FACTORY,Organized Estate / Factory,Assam,HARMUTTY,30
SUBLIME AGRO LTDDOOMNI TEA ESTATE,Tea Processor / Unit,Assam,DOOMNI TEA ESTATE,30
SUKLAI TEA CO. PVT. LTD.SUKLAI TEA FACTORY,Organized Estate / Factory,Assam,SUKLAI,30
SUNTOK TEA CO LLPMANOHARI TEA ESTATE,Organized Estate / Factory,Assam,MANOHARI,30
SUNTOK TEA ESTATESUNTOK TEA ESTATE,Organized Estate / Factory,Assam,SUNTOK,30
SUPRABHATAM TEA COMPANY SUPRABHATAM TEA COMPANY,Organized Estate / Factory,Assam,"RADHAJULI, RADHAJULI GOLD",30
SURAJ,Organized Estate / Factory,Assam,,30
MANUFACTURING TE CO. P.LTD FATHEPUR TEA FACTROY,Organized Estate / Factory,Assam,"SURAJ, SATFUL",30
SURYA TEA INDUSTRIESSURYA TEA INDUSTRIES,Bought Leaf Factory (BLF),Assam,"LANGARIA,SURYA",30
SUYASH TEA COMPANY PRIVATE LIMITED RANGSALI TEA FACTORY,Organized Estate / Factory,Assam,RUPKALIA,30
SWANANDA TEA PRIVATE LIMITED SEALKOTEE TEA ESTATE,Organized Estate / Factory,Assam,SEALKOTEE,30
TEAMAFCO PRIVATE LIMITEDTEAMAFCO FACTORY & STGs,Bought Leaf Factory (BLF),Assam,"TEAMAFCO,BELBARI",30
"ANANDABAG TEA ESTATE, CHOKHANI TEA AND TEA SEED ESTATE",Organized Estate / Factory,Assam,ANANDA- BAG,30
COMPANY MATIAPAHAR TEA FACTORY & STGS,Bought Leaf Factory (BLF),Assam,MATIAPAHAR,31
THE CHAMONG TEA CO. DUFLATING TE,Organized Estate / Factory,Assam,DUFLATING TEA ESTATE,31
DESSOIE TEA ESTATE & FACTORY,Organized Estate / Factory,Assam,DESSOIE TEA,31
KANU TEA ESTATE,Organized Estate / Factory,Assam,GROB KANU TEA ESTATE,31
THE JOREHAUT AGRO LIMITED BHADRA TEA FACTORY,Tea Processor / Unit,Assam,BHADRA TEA FACTORY,31
"BORSAPORI, NUMALIGHUR, RUNGAGORA & LANGHARJAN",Organized Estate / Factory,Assam,,31
"NUMALIGHAR STG, RUNGAGORA STG & LANGHARJAN STG",Organized Estate / Factory,Assam,"LAKSHYA, GARV, MEGH",31
THE SCOTTISH,Organized Estate / Factory,Assam,(INDIA),31
LTD HEELEAKAH TEA ESTATE,Organized Estate / Factory,Assam,HEELEAKAH,31
THE TELIOJAN TEA COMPANY LTD TELIOJAN TEA ESTATE & FACTORY,Organized Estate / Factory,Assam,,31
"TELOIJAN CLONAL, TELOIJAN, TELOIJAN SPECIAL TIKOK TEA COMPANYTIKOK TEA COMPANY",Organized Estate / Factory,Assam,TIKOK TEA,31
TINKHARIA TEA PVT. LTDTINKHARIA TEA ESTATE,Organized Estate / Factory,Assam,TINKHARIA T.E.,31
Tirual Bortimon Tea Estates Pvt. Ltd. Tirual Tea Estate Factory,Organized Estate / Factory,Assam,,31
"TIRUAL PREMIUM, NAKACHARI, TIRUAL SPECIAL TONGANI TEA COMPANY LTDTONGANI TEA ESTATE",Organized Estate / Factory,Assam,TONGANI T.E.,31
TSANGPOOL TEA PVT. LTD. TSANGPOOL FACTORY & STG,Bought Leaf Factory (BLF),Assam,"TSANGPOOL TEA, BEELGAON TEA",31
TYROON TEA CO. LTDTYROON TEA COMPANY,Organized Estate / Factory,Assam,TYROON,31
VAIBHAV TEA COMPANYVAIBHAV TEA COMPANY,Organized Estate / Factory,Assam,"KALASH GOLD, VAIBHAV TEA,",31
VARHDHMAN TEA TRADING COMPANY PRIVATE LIMITED SONA,Tea Processor / Unit,Assam,TEA FACTORYASSAM,31
"GEMI, KAANCHAN, RANGBARRIE, STAR, EVERSHINE DEOHALL TEA ESTATE",Organized Estate / Factory,Assam,DEOHALL,31
DUAMARA TEA ESTATE,Organized Estate / Factory,Assam,DUAMARA,31
MADHUTING TEA PVT. LTD.HATIMARA TEA ESTATE,Organized Estate / Factory,Assam,HATIMARA,31
WARREN TEA LIMITEDTARA TEA ESTATE,Organized Estate / Factory,Assam,TARA,32
WELCOME TEA COMPANY WELCOME TEA COMPANY-SHG,Organized Estate / Factory,Assam,"KAIZEN, WELLCOME, KAILYN",32
WEST BENGAL MANUFACTURING PVT. LTD TIOK TEA ESTATE & STG,Organized Estate / Factory,Assam,,32
MANAKAMNA TEA INDUSTRIES PRIVATE LIMITED,Bought Leaf Factory (BLF),Assam,"KASHISH, MADATI",32
GREEN,Organized Estate / Factory,Assam,TEA,32
INDUSTRIES GREEN,Bought Leaf Factory (BLF),Assam,"TEA INDUSTRIESASSAMDULIAGURI, NAHOLIA",32
SHREE TEA (ASSAM) MANUFACTURING INDUSTRIES LTD.,Bought Leaf Factory (BLF),Assam,,32
"PANIMORE, HAFLONGURI, MAYONGBARI, MAIBONG B & A LTD.SANGSUA",Organized Estate / Factory,Assam,SANGSUA,32
DHURJYOTI TEA CO. PVT. LTDDHURJYOTI TEA CO. PVT. LTD,Organized Estate / Factory,Assam,"BIHUWAN, KORANI, KUJUPOTHAR",32
DIGULTURRUNG TEA ESTATEDIGULTURRUNG TEA ESTATE,Organized Estate / Factory,Assam,"DIGULTURRUNG, OAKLANDS",32
GOLAGHAT TEA MAKERSGOLAGHAT TEA MAKERS,Organized Estate / Factory,Assam,"DHULIAGAON, KHATUBARI",32
RANGLAL TEA & INDUSTRIES PRIVATE LIMITED,Bought Leaf Factory (BLF),Assam,"JALPUNIA, RANGLAL",32
Tamulbari Tea Co Pvt. Ltd.TAMULBARI TEA ESTATE,Organized Estate / Factory,Assam,TAMULBARI,32
WORTHY TEA COMPANY PVT. LTD. WORTHY TEA COMPANY PVT. LTD.,Organized Estate / Factory,Assam,WORTHY,32
SITAPUR TEA COMPANYSITAPUR TEA COMPANY,Organized Estate / Factory,Assam,SITAPUR,32
GAURIPUR TEA INDUSTRYGAURIPUR TEA INDUSTRY,Organized Estate / Factory,Assam,,32
TELOIJAN TECHNO AGRO LIMITED TELOIJAN TECHNO AGRO LIMITED,Tea Processor / Unit,Assam,,32
DHELAKHAT TEA ESTATEDHELAKHAT TEA ESTATE,Organized Estate / Factory,Assam,Dhelakhat Tea Estate,32
New Manas Tea Estates Private Limited NIRMALA TEA ESTATE,Organized Estate / Factory,Assam,NIRMALA,32
GONESHBARI TEA COMPANY PVT. LTD. GONESHBARI TEA ESTATE,Organized Estate / Factory,Assam,GONESHBARI,33
DAMAYANTI TEA INDUSTRIESDAMAYANTI TEA INDUSTRIES,Bought Leaf Factory (BLF),Assam,DAMAYANTI,33
MUNIN PHUKAN AGRO ESTATE MUNIN PHUKAN AGRO ESTATE,Tea Processor / Unit,Assam,"RITUBAN T.E., KAMALDOI T.E.",33
RUPAI TEA ESTATE LLPRUPAI TEA ESTATE LLP,Organized Estate / Factory,Assam,"Rupai, Rupai North",33
Methoni Tea Estate ( RCP Solution & Services Pvt. Ltd.),Organized Estate / Factory,Assam,Methoni,33
