entity_name,type,state,marks,source_page
BAGHMARI TEA COMPANY LTD BAGHMARI TEA GARDEN,Organized Estate / Factory,Assam,"BAGHMARI, BAGHMARI CLONAL",16
BAHANI TEA CO. PVT. LTDBAHANI TEA CO. PVT. LTD,Organized Estate / Factory,Assam,BAHANI,16
BALAJI TEA INDUSTRIESBALAJI TEA INDUSTRIES,Bought Leaf Factory (BLF),Assam,BALAJI,16
BANAMALIE TEA ESTATEBANAMALIE TEA ESTATE,Organized Estate / Factory,Assam,BANAMALIE,16
BANSIDHAR BADRIDASS MODI PVT LTD SREE SIBBARI TEA ESTATE,Organized Estate / Factory,Assam,,17
BARUANAGAR TEA ESTATE P. LTD SUNDARPUR TE & STG,Organized Estate / Factory,Assam,,17
"SUNDARPUR, SUNDARPUR CL, BARUAKHAT BAZALONI GROUP LTDBAZALONI",Organized Estate / Factory,Assam,"BAZALONI,RAJGARALI",17
BCS AGRO & MERCANTILEKOLONG TEA FACTORY & STGs,Bought Leaf Factory (BLF),Assam,KOLONG,17
BENGAL TEA & FABRICS LTDANANDA TEA ESTATE & STG,Organized Estate / Factory,Assam,ANANDA TEA ESTATE,17
BHAWANIPUR TEA CO. PVT LTD BHAWANIPUR TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,BHAWANIPUR,17
BHERGAON TEA INDUSTRIES P. LTD BHERGAON TE,Bought Leaf Factory (BLF),Assam,BHERGAON,17
BHUWALKA TRADING & TEA CO. P. LTD. AENAKHALL TE,Tea Processor / Unit,Assam,"AENAKHALL, LUCKYNAGAR",17
CHIKONMATI TEA ESTATE,Organized Estate / Factory,Assam,CHIKONMATI SUNBRAND,17
KOKRAJHAR TEA ESTATE,Organized Estate / Factory,Assam,KOKRAJHAR,17
& SONS PARTNERSHIP COMPANY ROSEKANDY TE,Organized Estate / Factory,Assam,ROSEKANDY,17
BL TEA INDUSTRIESBLTI FACTORY & STG,Bought Leaf Factory (BLF),Assam,SILJURI,17
BOHNIMAN TEA PRIVATE LIMITED BOHNIMAN TEA PRIVATE LIMITED,Organized Estate / Factory,Assam,DAHINGEAHILLS,17
BOKAHOLA TEA CO P LTDBOKAHOLA TE,Organized Estate / Factory,Assam,BOKAHOLA,17
BORA TEA PVT LTDBORA TEA PVT LTD,Organized Estate / Factory,Assam,,17
"PADAMI, JAAMIPUR, PENDEN, BUBINO BORBAM TEA GARDENBORBAM TEA GARDEN",Organized Estate / Factory,Assam,BORBAM,17
BORBHETA ESTATE PVT LTDMADHUBAN TEA ESTATE,Organized Estate / Factory,Assam,"MADHUBAN, MADHUBAN UK",17
BORBIL TEA COMPANYBORBIL TEA COMPANY,Organized Estate / Factory,Assam,BORBIL TEA,17
BORMAH JAN TEA COMPANY(1936) LTD BORMAHJAN TEA ESTATE,Organized Estate / Factory,Assam,"BORMAHJAN,OUPHULIA",17
BORPATHER TEA CO. LLPBORPATHAR TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,CLASSIC BORPATHAR,17
CHANDPUR TEA PLANTERS & INDUSTRIES - SHG,Bought Leaf Factory (BLF),Assam,CHETAK TEA,18
FACTORY ( A UNIT OF GOPAL BHOROLI TEA CO PVT. LTD) GOPAL BHOROLI TEA CO PVT LTD,Organized Estate / Factory,Assam,,18
"CHANDARPRABHA TEA CL, CHANDARPRABHA TEA GOLD CHENIMAI TEA COMPANYCHENIMAI TEA COMPANY",Organized Estate / Factory,Assam,"CHENIMAI, ALIF",18
CHOIBARI TEA & INDUSTRIES LTD CHOIBARI TEA ESTATE,Organized Estate / Factory,Assam,CHOIBARI,18
CHUNGIBARIE TEA ESTATES P LTD CHUNGIBARIE TEA ESTATES P LTD-STG,Organized Estate / Factory,Assam,"CHUNGIBARIE, SINGORAJAN",18
CLASSIC TEA COMPANY P. LTD CLASSIC TEA COMPANY P. LTD & STG,Organized Estate / Factory,Assam,CLASSIC,18
"CORNHILL TEA PVT LTDCORNHILL TEA ESTATE, FACTORY &",Organized Estate / Factory,Assam,SAPORTOLI,18
DALOWJAN TEA CO P. LTDDALOWJAN TEA ESTATE,Organized Estate / Factory,Assam,DALOWJAN,18
DARSHANLAL ANAND PRAKASH & SONS PVT LTD KHONGEA TEA FACTORY,Organized Estate / Factory,Assam,"KHONGEA, KHONGEA CLONAL",18
SHAKOMATO TEA ESTATE & STG,Organized Estate / Factory,Assam,"SADHARU, BEGUNBARI",18
SHAKOMATO TEA ESTATE,Organized Estate / Factory,Assam,SHAKOMATO,18
DEODARSHAN TEA COMPANY LIMITED,Organized Estate / Factory,Assam,DEODARSHAN,18
DERBY PLANTATION PVT. LTD. DERBY TEA ESTATE,Organized Estate / Factory,Assam,"DERBY, RUGBY",18
DHANSHREE TEA INDUSTRIESDHANSHREE TEA INDUSTRIES,Bought Leaf Factory (BLF),Assam,ASSAM VALLEY,18
DHANESWARI WOOD PRODCUTS LTD. MOHEEMA TEA ESTATE,Organized Estate / Factory,Assam,"MOHEEMA, SONAKHET",18
DHANSRI TEA INDUSTRIESDHANSRI TEA FACTORY & STGS,Bought Leaf Factory (BLF),Assam,,18
"DHENDAI TEA ESTATE, DHENDAI TEA & INDUSTRIES PVT LTD-SHG",Organized Estate / Factory,Assam,"DHENDAI, DHENDAI SELECT",18
DHOLAI TEA CO.DHOLAI TEA GARDEN,Organized Estate / Factory,Assam,"DHOLAI TEA, TAMULPAN, DHOLAI",18
DHULLIE TEA PLANTATIONS PVT LTD DHULLIE TEA ESTATE,Organized Estate / Factory,Assam,DHULLIE,19
BALIJAN NORTH TEA ESTATE,Organized Estate / Factory,Assam,BALIJAN NORTH TEA ESTATE,19
BAHIPOOKRI TEA ESTATE,Organized Estate / Factory,Assam,,19
"BAHIPOOKRI, DHANPOOKRI, DHUNTARA BETTYBARI TE",Organized Estate / Factory,Assam,"BETTYBARI, GOANBARI",19
DILLI TE,Organized Estate / Factory,Assam,,19
"DILLI CLONAL, DILLI CLONAL BN, DILLI CLONAL BB DHUNSERI TE",Organized Estate / Factory,Assam,"DHUNSERI, DHUNDUA",19
HATIBARI TEA FACTORY,Organized Estate / Factory,Assam,HATIPOOKRI,19
HATIJAN TEA ESTATE- STG,Organized Estate / Factory,Assam,"HATIJAN CLONAL, NAYANIGURI",19
KHAGORIJAN TEA ESTATE & STG,Organized Estate / Factory,Assam,"KHAGORIJAN, RAMBAGH, DRG",19
ORANG TE,Organized Estate / Factory,Assam,"ORANG CLONAL, ORANGBARI",19
SHIVANI TEA ESTATE & STG,Organized Estate / Factory,Assam,"MAKANDI, MUSKAN, SANTI",19
DINJOYE TEA ESTATE P. LTDDINJOYE TEA ESTATE,Organized Estate / Factory,Assam,DINJOYE TE,19
DOHUTIA TEA COMPANYDOHUTIA TEA COMPANY,Organized Estate / Factory,Assam,"NATUNMATI, TRINAYAN",19
DOLAGURI TEA CO. (P) LTD.DOLAGURI TE,Organized Estate / Factory,Assam,DOLAGURI,19
DOWAMARA TEA COMPANY(P) LTD. DOWAMARA TEA COMPANY(P) LTD.,Organized Estate / Factory,Assam,DOWAMARA,19
DOYAPORE TEA & INDUSTRIES PVT LTD DOYAPORE TEA ESTATE,Organized Estate / Factory,Assam,DOYAPORE,19
DPG ESTATESSREE KRISHNA TEA ESTATE,Organized Estate / Factory,Assam,"SREE KRISHNA TEA GOLD, SREE",19
DUKHENHENGRA TEA P. LTD.SOCKIETING TEA ESTATE,Organized Estate / Factory,Assam,SOCKIETING,19
DURRUNG TEA ESTATE LIMITED DURRUNG TEA ESTATE,Organized Estate / Factory,Assam,DURRUNG,19
